n,working_set_mib,naive_ms,optimized_ms,unroll_ms,speedup_cache,speedup_unroll,max_diff_cache,max_diff_unroll
64,0.032227,0.001560,0.000420,0.000415,3.716624,3.759910,0.000000,0.000000
128,0.126953,0.008098,0.002142,0.001784,3.780743,4.540404,0.000000,0.000000
192,0.284180,0.020162,0.004389,0.003193,4.593563,6.315131,0.000000,0.000000
256,0.503906,0.035561,0.007639,0.007536,4.655451,4.718763,0.000000,0.000000
384,1.130859,0.076845,0.019185,0.015383,4.005508,4.995611,0.000000,0.000000
512,2.007812,0.224605,0.034992,0.027336,6.418769,8.216604,0.000000,0.000000
768,4.511719,0.458291,0.078665,0.092533,5.825822,4.952715,0.000000,0.000000
1024,8.015625,2.445838,0.172416,0.177723,14.185651,13.762073,0.000000,0.000000
1536,18.023438,8.615725,0.437222,0.455093,19.705604,18.931783,0.000000,0.000000
2048,32.031250,35.078025,1.434069,1.205488,24.460490,29.098603,0.000000,0.000000
